order,mod,packageId,defName,label,kind,techLevel,marketValue,parent,categories,research,file
2,Core,ludeon.rimworld,Mote_Clean,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Meta.xml
2,Core,ludeon.rimworld,Mote_Paint,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Meta.xml
2,Core,ludeon.rimworld,Mote_Sow,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Meta.xml
2,Core,ludeon.rimworld,Mote_Harvest,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Meta.xml
2,Core,ludeon.rimworld,Mote_ClearSnow,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Meta.xml
2,Core,ludeon.rimworld,Mote_Cards,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Meta.xml
2,Core,ludeon.rimworld,Mote_Stun,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_MetaStatus.xml
2,Core,ludeon.rimworld,Mote_ColonistFleeing,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_MetaStatus.xml
2,Core,ludeon.rimworld,Mote_ColonistAttacking,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_MetaStatus.xml
2,Core,ludeon.rimworld,Mote_DrunkBubble,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_MetaStatus.xml
2,Core,ludeon.rimworld,Mote_BerserkBit,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_MetaStatus.xml
2,Core,ludeon.rimworld,Mote_Speech,Mote,mote,(none),,InteractionMoteBase,,,Defs\Effects\Mote_Special.xml
2,Core,ludeon.rimworld,Mote_Thought,Mote,mote,(none),,InteractionMoteBase,,,Defs\Effects\Mote_Special.xml
2,Core,ludeon.rimworld,Mote_ThoughtGood,Mote,mote,(none),,MoodMoteBase,,,Defs\Effects\Mote_Special.xml
2,Core,ludeon.rimworld,Mote_ThoughtBad,Mote,mote,(none),,MoodMoteBase,,,Defs\Effects\Mote_Special.xml
2,Core,ludeon.rimworld,Mote_Text,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Special.xml
2,Core,ludeon.rimworld,Mote_ProgressBar,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Special.xml
2,Core,ludeon.rimworld,Mote_ProgressBarAlwaysVisible,Mote,mote,(none),,Mote_ProgressBar,,,Defs\Effects\Mote_Special.xml
2,Core,ludeon.rimworld,Mote_TempRoof,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Special.xml
2,Core,ludeon.rimworld,Mote_Danger,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Special.xml
2,Core,ludeon.rimworld,Mote_ActivatorCountdownGlow,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_ActivatorProximityGlow,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_Leaf,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_FoodBitVegetarian,Mote,parent:FoodBitBase,(none),,FoodBitBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_FoodBitMeat,Mote,parent:FoodBitBase,(none),,FoodBitBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_StoneBit,Mote,parent:FoodBitBase,(none),,FoodBitBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_CookBit,Mote,parent:FoodBitBase,(none),,FoodBitBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_VomitBit,Mote,parent:FoodBitBase,(none),,FoodBitBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_Bombardment,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_PowerBeam,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_GiantExplosion,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_GiantExplosionInner,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_PsychicConditionCauserEffect,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_PsychicEmanatorEffect,Mote,mote,(none),,Mote_PsychicConditionCauserEffect,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_ForceJob,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_ForceJobMaintained,Mote,parent:ForceJob,(none),,ForceJob,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,FlashShieldBreak,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,CracksShieldBreak,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_SparkThrownFastBright,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_ResurrectAbility,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_ResurrectFlash,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_PowerCellBurning,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_ForcedVisible,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,GroundCrackHuge,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_Hacking,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_CocoonBreaking,Mote,mote,(none),,MoteCocoonBreakingBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_CocoonDestroyedMist,Mote,mote,(none),,MoteCocoonBreakingBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_CocoonDestroyedFlyingSlime,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_CocoonDestroyedFlyingPiece,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_AnimalWarcallDistortion,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_AnimalWarcallFlash,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,Mote_TerrorHalo,Mote,mote,(none),,MoteBase,,,Defs\Effects\Mote_Visual.xml
2,Core,ludeon.rimworld,ArchotechEye,archotech eye,bodypart,Archotech,2800,BodyPartArchotechBase,BodyPartsArchotech,,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Archotech.xml
2,Core,ludeon.rimworld,ArchotechArm,archotech arm,bodypart,Archotech,2800,BodyPartArchotechBase,BodyPartsArchotech,,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Archotech.xml
2,Core,ludeon.rimworld,ArchotechLeg,archotech leg,bodypart,Archotech,2800,BodyPartArchotechBase,BodyPartsArchotech,,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Archotech.xml
2,Core,ludeon.rimworld,BionicEye,bionic eye,bodypart,Spacer,,BodyPartBionicBase,BodyPartsBionic,Bionics,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Bionic.xml
2,Core,ludeon.rimworld,BionicArm,bionic arm,bodypart,Spacer,,BodyPartBionicBase,BodyPartsBionic,Bionics,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Bionic.xml
2,Core,ludeon.rimworld,BionicLeg,bionic leg,bodypart,Spacer,,BodyPartBionicBase,BodyPartsBionic,Bionics,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Bionic.xml
2,Core,ludeon.rimworld,BionicSpine,bionic spine,bodypart,Spacer,,BodyPartBionicBase,BodyPartsBionic,Bionics,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Bionic.xml
2,Core,ludeon.rimworld,BionicHeart,bionic heart,bodypart,Spacer,,BodyPartBionicBase,BodyPartsBionic,Bionics,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Bionic.xml
2,Core,ludeon.rimworld,BionicStomach,bionic stomach,bodypart,Spacer,,BodyPartBionicBase,BodyPartsBionic,Bionics,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Bionic.xml
2,Core,ludeon.rimworld,DeathAcidifier,death acidifier,bodypart,Spacer,400,BodyPartBase,BodyPartsBionic,,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Bionic.xml
2,Core,ludeon.rimworld,BionicEar,bionic ear,bodypart,Spacer,,BodyPartBionicBase,BodyPartsBionic,Bionics,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Bionic.xml
2,Core,ludeon.rimworld,BionicTongue,bionic tongue,bodypart,Spacer,,BodyPartBionicBase,BodyPartsBionic,Bionics,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Bionic.xml
2,Core,ludeon.rimworld,BionicJaw,bionic jaw,bodypart,Spacer,,BodyPartBionicBase,BodyPartsBionic,Bionics,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Bionic.xml
2,Core,ludeon.rimworld,Heart,heart,bodypart,(none),1200,BodyPartNaturalBase,BodyPartsNatural,,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Natural.xml
2,Core,ludeon.rimworld,Lung,lung,bodypart,(none),1000,BodyPartNaturalBase,BodyPartsNatural,,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Natural.xml
2,Core,ludeon.rimworld,Kidney,kidney,bodypart,(none),900,BodyPartNaturalBase,BodyPartsNatural,,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Natural.xml
2,Core,ludeon.rimworld,Liver,liver,bodypart,(none),1200,BodyPartNaturalBase,BodyPartsNatural,,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Natural.xml
2,Core,ludeon.rimworld,SimpleProstheticLeg,prosthetic leg,bodypart,Industrial,,BodyPartProstheticMakeableBase,BodyPartsProsthetic,Prosthetics,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Prosthetic.xml
2,Core,ludeon.rimworld,SimpleProstheticArm,prosthetic arm,bodypart,Industrial,,BodyPartProstheticMakeableBase,BodyPartsProsthetic,Prosthetics,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Prosthetic.xml
2,Core,ludeon.rimworld,SimpleProstheticHeart,prosthetic heart,bodypart,Industrial,,BodyPartProstheticMakeableBase,BodyPartsProsthetic,Prosthetics,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Prosthetic.xml
2,Core,ludeon.rimworld,CochlearImplant,cochlear implant,bodypart,Industrial,,BodyPartProstheticMakeableBase,BodyPartsProsthetic,Prosthetics,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Prosthetic.xml
2,Core,ludeon.rimworld,PowerClaw,power claw,bodypart,Industrial,,BodyPartProstheticBase,BodyPartsProsthetic,,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Prosthetic.xml
2,Core,ludeon.rimworld,Joywire,joywire,bodypart,Industrial,,BodyPartProstheticBase,BodyPartsProsthetic,,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Prosthetic.xml
2,Core,ludeon.rimworld,Painstopper,painstopper,bodypart,Industrial,,BodyPartProstheticBase,BodyPartsProsthetic,,Defs\HediffDefs\BodyParts\Hediffs_BodyParts_Prosthetic.xml
2,Core,ludeon.rimworld,PsychicAmplifier,psylink neuroformer,bodypart,Archotech,2600,,BodyPartsArchotech,,Defs\HediffDefs\Hediffs_Psycasts.xml
2,Core,ludeon.rimworld,AncientConcreteBarrier,ancient concrete barrier,building,(none),,BuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient.xml
2,Core,ludeon.rimworld,AncientLamppost,ancient lamppost,building,(none),,BuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient.xml
2,Core,ludeon.rimworld,Urn,urn,building,(none),,BuildingBase,BuildingsFurniture,,Defs\ThingDefs_Buildings\Buildings_Ancient.xml
2,Core,ludeon.rimworld,AncientCryptosleepPod,ancient cryptosleep pod,building,(none),,AncientCryptosleepCasket,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Active.xml
2,Core,ludeon.rimworld,AncientHermeticCrate,hermetic crate,building,(none),,CrateBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Active.xml
2,Core,ludeon.rimworld,AncientFuelNode,ancient unstable fuel node,parent:BuildingBase,(none),,BuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Active.xml
2,Core,ludeon.rimworld,AncientLamp,ancient lamp,building,(none),,BuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientSystemRack,ancient system rack,building,(none),,BuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientBarrel,ancient barrel,building,(none),,BuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientBed,ancient bed,building,Medieval,,BuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientMicrowave,ancient microwave,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientKitchenSink,ancient kitchen sink,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientRefrigerator,ancient refrigerator,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientOven,ancient oven,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientStove,ancient stove,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientOperatingTable,ancient operating table,building,(none),,BuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientMachine,ancient machine,building,(none),,NonDeconstructibleAncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientGenerator,ancient generator,building,(none),,BuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientBasicRecharger,ancient basic recharger,building,(none),,AncientMechBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientStandardRecharger,ancient standard recharger,building,(none),,AncientMechBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientMechDropBeacon,ancient mech drop beacon,building,(none),,BuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientSecurityTurret,ancient security turret,building,(none),,AncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientMechGestator,ancient mech gestator,building,(none),,AncientMechBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientMechGestatorTank,ancient mech vat,building,(none),,AncientMechBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientLargeMechGestator,ancient large mech gestator,building,(none),,AncientMechBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientLockerBank,ancient locker bank,building,(none),,BuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientDisplayBank,ancient display bank,building,(none),,BuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientCrate,ancient crate,building,(none),,BuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientEquipmentBlocks,ancient equipment blocks,building,(none),,NonDeconstructibleAncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientStorageCylinder,ancient storage cylinder,building,(none),,BuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientSpacerCrate,ancient spacer crate,building,(none),,BuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,AncientMilitaryCrate,ancient military crate,building,(none),,BuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Indoors.xml
2,Core,ludeon.rimworld,ChunkMechanoidSlag,mechanoid slag chunk,item,(none),,ChunkSlagSteel,Chunks,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientLargeContainer,ancient container,building,(none),,NonDeconstructibleAncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientShipBeacon,ancient nav beacon,building,(none),,BuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientLargeCrate,ancient large crate,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientVendingMachine,ancient vending machine,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientToilet,ancient toilet,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientLongCrate,ancient long crate,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientSmallCrate,ancient small crate,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientMegaCannonTripod,ancient mega-cannon platform,building,(none),,NonDeconstructibleAncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientMegaCannonBarrel,ancient mega-cannon barrel,building,(none),,AncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientLargeRustedEngineBlock,ancient macro-engine block,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientFence,ancient fence,building,(none),,BuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientTank,ancient ruined tank,building,(none),,NonDeconstructibleAncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientTankTrap,ancient tank trap,building,(none),,NonDeconstructibleAncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientRustedEngineBlock,ancient engine block,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientShoppingCart,ancient shopping cart,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientPostbox,ancient postbox,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientAirConditioner,ancient air conditioner,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientATM,ancient ATM,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientWashingMachine,ancient washing machine,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientHydrant,ancient hydrant,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientWheel,ancient wheel,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientGiantWheel,ancient giant wheel,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientRustedCar,ancient car,building,(none),,NonDeconstructibleAncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientRustedTruck,ancient truck,building,(none),,NonDeconstructibleAncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientRustedJeep,ancient troop carrier,building,(none),,NonDeconstructibleAncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientRustedCarFrame,ancient car frame,building,(none),,NonDeconstructibleAncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientWarwalkerTorso,ancient warwalker torso,building,(none),,NonDeconstructibleAncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientRustedDropship,ancient dropship,building,(none),,NonDeconstructibleAncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientWarwalkerClaw,ancient warwalker claw,building,(none),,NonDeconstructibleAncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientWarwalkerLeg,ancient warwalker leg,building,(none),,NonDeconstructibleAncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientMiniWarwalkerRemains,ancient warsprinter remains,building,(none),,NonDeconstructibleAncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientWarspiderRemains,ancient warspider remains,building,(none),,NonDeconstructibleAncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientPipelineSection,ancient pipeline section,building,(none),,AncientSmallWalkableBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientWarwalkerFoot,ancient warwalker foot,building,(none),,NonDeconstructibleAncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientAPC,ancient ruined APC,building,(none),,NonDeconstructibleAncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
2,Core,ludeon.rimworld,AncientWarwalkerShell,ancient warwalker shell,building,(none),,NonDeconstructibleAncientBuildingBase,,,Defs\ThingDefs_Buildings\Buildings_Ancient_Outdoors.xml
